Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
8/9/2024,Friday,August,Q3,2024,EQ,4217.00,4253.65,4205.55,4172.55,4220.00,4228.75,4233.82,4431.00,3311.00,1302536,79876
8/8/2024,Thursday,August,Q3,2024,EQ,4181.00,4232.00,4160.00,4200.45,4174.00,4172.55,4190.47,4431.00,3311.00,2441283,120490
8/7/2024,Wednesday,August,Q3,2024,EQ,4228.00,4244.95,4180.30,4171.20,4201.00,4200.45,4201.58,4431.00,3311.00,1237666,102627
8/6/2024,Tuesday,August,Q3,2024,EQ,4170.95,4258.25,4160.80,4155.05,4175.10,4171.20,4193.98,4431.00,3311.00,2203067,134281
8/5/2024,Monday,August,Q3,2024,EQ,4239.00,4239.00,4110.50,4283.05,4160.00,4155.05,4165.25,4431.00,3311.00,2787771,169844
8/2/2024,Friday,August,Q3,2024,EQ,4365.00,4398.00,4270.00,4397.10,4283.85,4283.05,4309.34,4431.00,3311.00,2811282,213069
8/1/2024,Thursday,August,Q3,2024,EQ,4399.40,4419.30,4365.05,4385.35,4387.00,4397.10,4390.04,4431.00,3311.00,2202244,125252
7/31/2024,Wednesday,July,Q3,2024,EQ,4350.00,4414.00,4345.00,4365.35,4392.00,4385.35,4387.35,4431.00,3311.00,2330091,166542
7/30/2024,Tuesday,July,Q3,2024,EQ,4391.10,4398.00,4327.30,4381.10,4353.15,4365.35,4358.33,4431.00,3311.00,1797906,145705
7/29/2024,Monday,July,Q3,2024,EQ,4415.00,4431.00,4371.00,4387.85,4380.00,4381.10,4390.57,4431.00,3311.00,1746803,119852
7/26/2024,Friday,July,Q3,2024,EQ,4350.00,4422.45,4337.05,4322.50,4393.65,4387.85,4390.46,4422.45,3311.00,3552210,167036
7/25/2024,Thursday,July,Q3,2024,EQ,4295.00,4343.00,4274.20,4306.25,4332.25,4322.50,4314.53,4361.70,3311.00,2810342,196421
7/24/2024,Wednesday,July,Q3,2024,EQ,4287.50,4339.10,4268.10,4302.35,4305.00,4306.25,4309.50,4361.70,3311.00,1809793,118444
7/23/2024,Tuesday,July,Q3,2024,EQ,4283.00,4361.70,4266.30,4287.35,4311.00,4302.35,4302.19,4361.70,3311.00,2365208,180645
7/22/2024,Monday,July,Q3,2024,EQ,4299.95,4319.95,4265.00,4302.40,4282.10,4287.35,4292.14,4358.75,3311.00,1896386,132112
7/19/2024,Friday,July,Q3,2024,EQ,4317.40,4358.75,4285.25,4315.55,4298.00,4302.40,4319.15,4358.75,3311.00,3903354,290294
7/18/2024,Thursday,July,Q3,2024,EQ,4160.00,4325.00,4160.00,4178.45,4297.20,4315.55,4271.66,4325.00,3311.00,5613364,361931
7/16/2024,Tuesday,July,Q3,2024,EQ,4172.00,4194.55,4144.90,4169.20,4171.05,4178.45,4173.42,4254.75,3311.00,2029521,123240
7/15/2024,Monday,July,Q3,2024,EQ,4235.70,4240.00,4157.05,4183.95,4167.35,4169.20,4204.15,4254.75,3311.00,4848030,238210
7/12/2024,Friday,July,Q3,2024,EQ,3980.00,4199.95,3971.30,3923.70,4182.45,4183.95,4117.02,4254.75,3250.10,13509164,800145
7/11/2024,Thursday,July,Q3,2024,EQ,3931.00,3980.00,3895.60,3909.15,3902.00,3923.70,3928.74,4254.75,3250.10,4872189,214372
7/10/2024,Wednesday,July,Q3,2024,EQ,3983.70,4003.30,3902.00,3985.50,3915.00,3909.15,3925.50,4254.75,3250.10,2669716,137357
7/9/2024,Tuesday,July,Q3,2024,EQ,3985.00,4006.95,3975.10,3993.20,3983.70,3985.50,3990.33,4254.75,3250.10,1305801,142268
7/8/2024,Monday,July,Q3,2024,EQ,4022.00,4031.25,3978.05,4011.80,3997.00,3993.20,3995.83,4254.75,3250.10,1758882,109949
7/5/2024,Friday,July,Q3,2024,EQ,4010.00,4026.75,3988.00,4020.95,4010.00,4011.80,4007.40,4254.75,3250.10,1668616,120737
7/4/2024,Thursday,July,Q3,2024,EQ,3999.85,4047.35,3982.10,3965.25,4019.95,4020.95,4024.81,4254.75,3250.10,2518001,140694
7/3/2024,Wednesday,July,Q3,2024,EQ,4020.00,4026.10,3955.00,4017.40,3968.00,3965.25,3969.17,4254.75,3250.10,1821198,131803
7/2/2024,Tuesday,July,Q3,2024,EQ,3993.60,4023.40,3982.55,3978.20,4009.80,4017.40,4005.25,4254.75,3250.10,2307449,193878
7/1/2024,Monday,July,Q3,2024,EQ,3884.00,4001.70,3884.00,3904.15,3963.45,3978.20,3968.40,4254.75,3250.10,2658723,152648
6/28/2024,Friday,June,Q2,2024,EQ,3917.80,3960.00,3897.85,3934.15,3906.75,3904.15,3924.69,4254.75,3173.00,2731571,178435
6/27/2024,Thursday,June,Q2,2024,EQ,3831.00,3942.00,3818.10,3855.85,3928.00,3934.15,3897.23,4254.75,3173.00,4526556,308765
6/26/2024,Wednesday,June,Q2,2024,EQ,3844.50,3866.95,3841.00,3838.45,3853.30,3855.85,3856.13,4254.75,3173.00,1639845,159513
6/25/2024,Tuesday,June,Q2,2024,EQ,3817.00,3847.65,3792.90,3816.80,3840.00,3838.45,3822.40,4254.75,3173.00,1338808,140971
6/24/2024,Monday,June,Q2,2024,EQ,3808.75,3857.00,3791.30,3810.75,3815.00,3816.80,3834.36,4254.75,3173.00,1702154,115165
6/21/2024,Friday,June,Q2,2024,EQ,3827.00,3877.80,3798.05,3787.25,3802.00,3810.75,3827.86,4254.75,3173.00,4642195,206639
6/20/2024,Thursday,June,Q2,2024,EQ,3796.00,3809.95,3780.05,3801.70,3789.85,3787.25,3791.92,4254.75,3173.00,2846526,226469
6/19/2024,Wednesday,June,Q2,2024,EQ,3827.65,3833.85,3792.95,3815.10,3801.00,3801.70,3806.93,4254.75,3173.00,1509050,111353
6/18/2024,Tuesday,June,Q2,2024,EQ,3826.05,3842.00,3795.05,3832.05,3819.00,3815.10,3819.14,4254.75,3173.00,1774045,126236
6/14/2024,Friday,June,Q2,2024,EQ,3889.00,3889.00,3828.00,3878.15,3833.00,3832.05,3842.00,4254.75,3156.00,1860730,133590
6/13/2024,Thursday,June,Q2,2024,EQ,3856.80,3890.00,3852.00,3831.65,3873.00,3878.15,3872.82,4254.75,3156.00,1932323,128094
6/12/2024,Wednesday,June,Q2,2024,EQ,3874.40,3893.50,3827.45,3852.10,3837.00,3831.65,3853.40,4254.75,3156.00,2177001,142302
6/11/2024,Tuesday,June,Q2,2024,EQ,3845.00,3879.95,3841.00,3858.70,3855.65,3852.10,3860.66,4254.75,3156.00,1419898,94929
6/10/2024,Monday,June,Q2,2024,EQ,3895.00,3905.90,3841.90,3893.95,3859.00,3858.70,3864.83,4254.75,3156.00,1734661,117061
6/7/2024,Friday,June,Q2,2024,EQ,3837.30,3915.00,3837.30,3830.40,3888.55,3893.95,3891.54,4254.75,3156.00,4552445,277984
6/6/2024,Thursday,June,Q2,2024,EQ,3781.00,3839.90,3741.50,3746.45,3836.00,3830.40,3796.58,4254.75,3156.00,4328036,281068
6/5/2024,Wednesday,June,Q2,2024,EQ,3716.00,3783.80,3700.00,3715.00,3755.10,3746.45,3747.69,4254.75,3156.00,2799670,205741
6/4/2024,Tuesday,June,Q2,2024,EQ,3700.00,3745.00,3591.50,3702.85,3732.55,3715.00,3694.29,4254.75,3156.00,3395997,274839
6/3/2024,Monday,June,Q2,2024,EQ,3732.80,3751.55,3696.00,3670.95,3706.00,3702.85,3713.72,4254.75,3156.00,2156773,203491
5/31/2024,Friday,May,Q2,2024,EQ,3740.00,3749.80,3653.75,3736.10,3698.00,3670.95,3684.36,4254.75,3156.00,10956800,323000
5/30/2024,Thursday,May,Q2,2024,EQ,3777.00,3794.40,3715.45,3803.65,3739.00,3736.10,3747.95,4254.75,3156.00,2919230,186630
5/29/2024,Wednesday,May,Q2,2024,EQ,3848.90,3848.90,3800.00,3839.90,3803.00,3803.65,3817.18,4254.75,3156.00,1568095,118150
5/28/2024,Tuesday,May,Q2,2024,EQ,3858.00,3870.00,3830.00,3847.05,3836.90,3839.90,3853.34,4254.75,3156.00,1801993,123639
5/27/2024,Monday,May,Q2,2024,EQ,3855.00,3908.35,3841.35,3849.50,3847.65,3847.05,3879.60,4254.75,3156.00,1841538,160642
5/24/2024,Friday,May,Q2,2024,EQ,3878.25,3883.80,3844.30,3893.45,3850.95,3849.50,3857.62,4254.75,3156.00,1309452,88592
5/23/2024,Thursday,May,Q2,2024,EQ,3840.95,3905.00,3825.50,3832.00,3899.00,3893.45,3871.28,4254.75,3156.00,2095742,131534
5/22/2024,Wednesday,May,Q2,2024,EQ,3835.00,3841.25,3817.55,3820.20,3831.50,3832.00,3830.73,4254.75,3156.00,1311168,101531
5/21/2024,Tuesday,May,Q2,2024,EQ,3830.60,3844.75,3810.05,3851.45,3825.00,3820.20,3820.18,4254.75,3156.00,1908117,200205
5/18/2024,Saturday,May,Q2,2024,EQ,3847.00,3861.90,3840.00,3834.10,3853.35,3851.45,3849.42,4254.75,3156.00,91066,7224
5/17/2024,Friday,May,Q2,2024,EQ,3919.00,3920.00,3830.00,3900.95,3839.00,3834.10,3866.19,4254.75,3156.00,2765804,197919
5/16/2024,Thursday,May,Q2,2024,EQ,3891.10,3909.50,3843.50,3880.40,3892.00,3900.95,3882.17,4254.75,3156.00,2599399,187465
5/15/2024,Wednesday,May,Q2,2024,EQ,3904.50,3926.95,3875.50,3901.20,3882.70,3880.40,3891.38,4254.75,3156.00,1115021,88516
5/14/2024,Tuesday,May,Q2,2024,EQ,3936.00,3945.80,3892.90,3947.80,3902.00,3901.20,3916.22,4254.75,3156.00,1058317,96233
5/13/2024,Monday,May,Q2,2024,EQ,3884.50,3955.00,3870.00,3893.90,3947.00,3947.80,3923.12,4254.75,3156.00,931326,96702
5/10/2024,Friday,May,Q2,2024,EQ,3962.60,3973.60,3885.05,3960.20,3895.00,3893.90,3914.05,4254.75,3156.00,1672489,142144
5/9/2024,Thursday,May,Q2,2024,EQ,3962.00,3971.00,3910.05,3976.95,3956.00,3960.20,3948.51,4254.75,3156.00,1726486,156265
5/8/2024,Wednesday,May,Q2,2024,EQ,3961.00,3984.30,3938.60,3978.95,3968.10,3976.95,3968.11,4254.75,3156.00,1247685,110637
5/7/2024,Tuesday,May,Q2,2024,EQ,3930.80,3988.00,3913.50,3921.05,3975.20,3978.95,3951.55,4254.75,3156.00,2062112,128480
5/6/2024,Monday,May,Q2,2024,EQ,3853.00,3939.95,3853.00,3843.40,3922.20,3921.05,3917.99,4254.75,3156.00,2053831,162185
5/3/2024,Friday,May,Q2,2024,EQ,3890.15,3893.60,3797.60,3863.30,3838.00,3843.40,3839.84,4254.75,3156.00,2962234,193038
5/2/2024,Thursday,May,Q2,2024,EQ,3778.05,3871.10,3778.05,3820.65,3865.00,3863.30,3846.89,4254.75,3156.00,2491044,220245
4/30/2024,Tuesday,April,Q2,2024,EQ,3872.00,3881.75,3810.00,3870.20,3823.95,3820.65,3841.42,4254.75,3156.00,2203078,144940
4/29/2024,Monday,April,Q2,2024,EQ,3838.00,3877.80,3819.20,3821.35,3865.00,3870.20,3860.41,4254.75,3156.00,1110693,109485
4/26/2024,Friday,April,Q2,2024,EQ,3855.15,3876.80,3802.55,3852.20,3823.45,3821.35,3838.36,4254.75,3126.15,2039178,165343
4/25/2024,Thursday,April,Q2,2024,EQ,3811.20,3873.65,3811.00,3831.05,3851.00,3852.20,3850.53,4254.75,3126.15,2856271,211754
4/24/2024,Wednesday,April,Q2,2024,EQ,3890.00,3898.00,3824.45,3874.70,3835.00,3831.05,3853.73,4254.75,3126.15,1317312,113695
4/23/2024,Tuesday,April,Q2,2024,EQ,3877.05,3895.00,3860.60,3864.60,3875.00,3874.70,3877.69,4254.75,3126.15,1807586,132941
4/22/2024,Monday,April,Q2,2024,EQ,3837.00,3878.00,3812.00,3826.20,3875.90,3864.60,3841.58,4254.75,3126.15,1728883,99078
4/19/2024,Friday,April,Q2,2024,EQ,3838.00,3852.55,3800.90,3862.00,3822.15,3826.20,3827.74,4254.75,3070.25,2957749,252913
4/18/2024,Thursday,April,Q2,2024,EQ,3876.80,3936.00,3850.00,3872.80,3871.00,3862.00,3891.42,4254.75,3070.25,3476284,191254
4/16/2024,Tuesday,April,Q2,2024,EQ,3902.00,3928.70,3862.85,3941.20,3875.95,3872.80,3888.73,4254.75,3070.25,3051420,147341
4/15/2024,Monday,April,Q2,2024,EQ,4001.40,4064.20,3919.05,4001.40,3940.80,3941.20,3990.50,4254.75,3070.25,4200329,245404
4/12/2024,Friday,April,Q2,2024,EQ,3971.00,4013.35,3945.50,3984.65,4003.80,4001.40,3990.61,4254.75,3070.25,4354821,200517
4/10/2024,Wednesday,April,Q2,2024,EQ,3956.40,3990.20,3918.00,3946.55,3980.75,3984.65,3956.43,4254.75,3070.25,2101965,108594
4/9/2024,Tuesday,April,Q2,2024,EQ,3984.00,4015.85,3925.05,3972.55,3948.75,3946.55,3967.73,4254.75,3070.25,1876992,102114
4/8/2024,Monday,April,Q2,2024,EQ,3983.00,4032.65,3960.00,3979.25,3964.90,3972.55,4000.29,4254.75,3070.25,2302538,145126
4/5/2024,Friday,April,Q2,2024,EQ,3978.00,4002.00,3960.50,4003.30,3983.00,3979.25,3983.17,4254.75,3070.25,1636819,95801
4/4/2024,Thursday,April,Q2,2024,EQ,3975.90,4028.65,3935.25,3947.30,4000.00,4003.30,3983.10,4254.75,3070.25,3394637,196204
4/3/2024,Wednesday,April,Q2,2024,EQ,3851.00,3981.00,3851.00,3883.80,3950.05,3947.30,3940.47,4254.75,3070.25,3973090,232561
4/2/2024,Tuesday,April,Q2,2024,EQ,3890.00,3909.85,3873.00,3916.75,3890.20,3883.80,3886.53,4254.75,3070.25,2142666,152218
4/1/2024,Monday,April,Q2,2024,EQ,3897.70,3933.30,3888.05,3876.30,3924.00,3916.75,3905.77,4254.75,3070.25,1569676,142337
3/28/2024,Thursday,March,Q1,2024,EQ,3850.10,3915.00,3840.50,3840.90,3882.10,3876.30,3880.57,4254.75,3070.25,4311783,242073
3/27/2024,Wednesday,March,Q1,2024,EQ,3888.50,3895.00,3829.40,3877.50,3854.15,3840.90,3861.60,4254.75,3070.25,1968575,152258
3/26/2024,Tuesday,March,Q1,2024,EQ,3875.00,3946.70,3871.45,3910.90,3883.00,3877.50,3894.29,4254.75,3070.25,3440925,176329
3/22/2024,Friday,March,Q1,2024,EQ,3897.00,3938.00,3855.00,3972.95,3909.00,3910.90,3903.24,4254.75,3070.25,5852485,431155
3/21/2024,Thursday,March,Q1,2024,EQ,3990.05,4008.40,3948.00,3970.90,3979.45,3972.95,3972.92,4254.75,3070.25,3829582,227156
3/20/2024,Wednesday,March,Q1,2024,EQ,3986.00,4018.00,3960.20,3977.30,3974.95,3970.90,3995.10,4254.75,3070.25,1817913,134030
3/19/2024,Tuesday,March,Q1,2024,EQ,4051.25,4058.00,3966.60,4152.50,3971.00,3977.30,4022.55,4254.75,3070.25,8931209,293529
3/18/2024,Monday,March,Q1,2024,EQ,4215.25,4254.75,4117.85,4219.25,4144.25,4152.50,4196.78,4254.75,3070.25,1526904,129335
3/15/2024,Friday,March,Q1,2024,EQ,4192.60,4239.00,4177.00,4207.60,4220.00,4219.25,4213.31,4241.00,3070.25,3373143,176623
3/14/2024,Thursday,March,Q1,2024,EQ,4153.45,4225.00,4086.00,4149.00,4207.75,4207.60,4166.30,4241.00,3070.25,2919608,262125
3/13/2024,Wednesday,March,Q1,2024,EQ,4205.00,4241.00,4131.90,4192.25,4139.00,4149.00,4177.33,4241.00,3070.25,2837260,208881
3/12/2024,Tuesday,March,Q1,2024,EQ,4122.35,4229.95,4121.05,4122.35,4194.55,4192.25,4198.28,4229.95,3070.25,4039801,216551
3/11/2024,Monday,March,Q1,2024,EQ,4089.00,4153.00,4089.00,4108.60,4120.00,4122.35,4124.96,4184.75,3070.25,2304068,188233
3/7/2024,Thursday,March,Q1,2024,EQ,4065.00,4124.00,4037.70,4064.30,4105.00,4108.60,4099.00,4184.75,3070.25,2688905,154179
3/6/2024,Wednesday,March,Q1,2024,EQ,3994.05,4072.00,3958.45,4012.10,4058.00,4064.30,4012.65,4184.75,3070.25,1744204,140908
3/5/2024,Tuesday,March,Q1,2024,EQ,4062.00,4064.00,3980.00,4080.70,4010.90,4012.10,4017.34,4184.75,3070.25,2070859,152615
3/4/2024,Monday,March,Q1,2024,EQ,4105.00,4117.90,4075.90,4107.10,4082.00,4080.70,4090.25,4184.75,3070.25,1749271,114412
3/2/2024,Saturday,March,Q1,2024,EQ,4112.70,4129.50,4090.15,4094.35,4110.00,4107.10,4110.65,4184.75,3070.25,65057,8974
3/1/2024,Friday,March,Q1,2024,EQ,4107.20,4140.00,4086.80,4095.10,4093.00,4094.35,4110.85,4184.75,3070.25,2043265,157981
2/29/2024,Thursday,February,Q1,2024,EQ,4099.00,4138.10,4064.55,4118.95,4113.00,4095.10,4098.60,4184.75,3070.25,3772719,165001
